Bus No,Via
98A,"railway station,gandhipuram,ganapathy,saravanampatti,kurumbapalayam"
99,"railway station,selvapuram,perur,madhampatti,thondamuthur"
99A,"railway station,selvapuram,perur,madhampatti,thondamuthur,dhevarayapuram"
100,"ganapathy,police quarters,cheranmanagar,peelamedu,lakshmi mills"
100C,"lakshmi mills,peelamedu,cheranmanagar,police quarters,ganapathy"
101,"railway station,ukkadam,aathupalam,kuniamuthur,paladhurai"
101B,"railway station,ukkadam,aathupalam,kuniamuthur,madhukarai"
102A,"new bus stand,kavundampalayam,thudiyalur,p.n.palayam,press colony"
102B,"poomarket,new bus stand,kavundampalayam,thudiyalur,p.n.palayam,press colony"
102P,"new bus stand,kavundampalayam,thudiyalur,p.n.palayam,nsn palayam"
103,"ramanathapuram,townhall,poomarket,new bus stand,thudiyalur,pannimadai"
104,"new bus stand,kavundampalayam,thudiyalur,p.n.palayam"
105,"ramanathapuram,singanallur,ondipudur,sulur,aero,karanampet"
105A,"singanallur,ondipudur,sulur,rvs,aero,karanampet,paruvai,karadivavi"
105B,"ramanathapuramsinganallur,ondipudur,sulur,aero,karanampetsulur,aero,sengadhurai"
105C,"lakshmi mills,singanallur,ondipudur,sulur,aero,karanampet,karadivavi"
107,"singanallur,ramanathapuram,townhall,selvapuram,perur,sundakamuthur"
108A,"lakshmi mills,hopes,singanallur,ondipudur,pappampatti,chinna kuyili"
109,"singanallur,hopes,peelamedu,lakshmi mills,gandhipuram"
110A,"gandhipuram,railway station,townhall,ukkadam,kuniyamuthur,mailkal"
110B,"singanallur,ramanathapuram,townhall,ukkadam,kuniyamuthur,mailkal"
110C,"p.n.pudhur,gandhipuram,railway station,townhall,ukkadam,kuniyamuthur"
111,"ganapathy,saravanampatti,kgisl,vellakinar,thudiyalur,new bus stand"
111A,"new bus stand,thudiyalur,vellakinar,kgisl,saravanampatti,ganapathy"
113,"singanallur,hopes,peelamedu,gandhipuram,ganapathy,saravanampatti"
114,"singanallur,hopes,lakshmi mills,gandhipuram,thudiyalur,kavundampalayam"
115,"lakshmi mills,sitra,nehru nagar,kalapatti,saravanampatti,ganapathy"
115A,"ganapathy,saravanampatti,kalapatti,nehru nagar,sitra,lakshmi mills"
117,"marakadai,ukkadam,kuniyamuthur,kovaipudur,perur,selvapuram"
118,"selvapuram,perur,kovaipudur,kuniyamuthur,ukkadam,marakadai"
120,"vadavalli,p.n.pudhur,saibaba colony,gandhipuram,railway station,ukkadam,eachanari"
120A,"vadavalli,p.n.pudhur,saibaba colony,gandhipuram,railway station,ukkadam,eachanari"
123A,"somayampalayam,kanuvai,saravanampatti,kalapatti,nehru nagar"
124,"new bus stand,kavundampalayam,thudiyalur,narasimma naicken palayam"
130,"townhall,lic,central bus stand"
130A,"railway station,gh,townhall,ukkadam,aathupalam"
130B,"railway station,gh,townhall,ukkadam,aathupalam"
135,"sivanandha colony,gandhipuram,railway station,ukkadam,poomarket,vadacovai"
135C,"vadacovai,poomarket,marakadai,ukkadam,railway station,gandhipuram"
140,"lakshmi mills,peelamedu,hopes,esi hospital"
140J,"hopes,peelamedu,lakshmi mills,gandhipuram,thudiyalur"
141,"lakshmi mills,psg hospital,gv residency"
145,"esi hospital,hopes,peelamedu,lakshmi mills,sivanandha colony"
150,sivanandha colony
160,"marakadai,ukkadam,kuniyamuthur,kovaipudur,perur,selvapuram"
160C,"selvapuram,perur,kovaipudur,kuniyamuthur,ukkadam,marakadai"
A1,"womens polytechnic,ramakrishna hospital"
A2,"sundarapuram,sidco,ukkadam,railway station,lakshmi mills,peelamedu,hopes"
A3,"railway station,ukkadam,kuniamuthur,madhukarai,marapalam,ettimadai,amirtha"
A4,"aathupalam,ukkadam,poomarket,vadacovai,new bus stand,kavundampalayam"
S1,"singanallur,hopes,lakshmi mills,gandhipuram,ganapathy"
S2,"puliakulam,townhall,ukkadam,aathupalam,kuniyamuthur"
S3,"puliakulam,townhall,selvapuram,perur,kalampalayam"
S3A,"railway station,townhall,selvapuram,perur,kalampalayam"
S3B,"ganapathy,gandhipuram,townhall,selvapuram,perur,kalampalayam"
S4,"sowripalayam,townhall,selvapuram,perur,madhampatti,sennanur"
S4A,"railway station,selvapuram,perur,madhampatti,kuppanur"
S6,"ramanathapuram,townhall,poomarket,vadacovai,thudiyalur"
S6A,"singanallur,ramanathapuram,townhall,poomarket,vadacovai,thudiyalur"
S7,"hopes,peelamedu,gandhipuram,marakadai,ukkadam,kuniyamuthur"
S7A,"singanallur,peelamedu,gandhipuram,marakadai,ukkadam,kuniyamuthur"
S8,"hopes,peelamedu,lakshmi mills,gandhipuram,tvs"
S9,"singanallur,peelamedu,gandhipuram,ganapathy,maniyakarampalayam"
S9A,"singanallur,peelamedu,gandhipuram,ganapathy,maniyakarampalayam,udayampalayam"
S9B,"singanallur,peelamedu,gandhipuram,ganapathy,maniyakarampalayam"
S9D,"singanallur,peelamedu,gandhipuram,ganapathy,maniyakarampalayam,udayampalayam"
S10,"singanallur,hopes,peelamedu,gandhipuram,ganapathy"
S11,"hopes,peelamedu,gandhipuram,saibaba colony,idayarpalayam"
S11A,"singanallur,hopes,peelamedu,gandhipuram,saibaba colony,idayarpalayam"
S12,"vadavalli,p.n.pudhur,saibaba colony,gandhipuram,lakshmi mills,peelamedu"
S13,"vadavalli,gandhipark,townhall,sungam,puliakulam"
S13A,"vadavalli,p.n.pudhur,gandhipark,townhall,puliakulam"
S14,"gandhipuram,railway station,selvapuram,perur,sundakamuthur"
S15,"singanallur,ramanathapuram,townhall,gandhipark,lali road,vadavalli"
S15A,"singanallur,ramanathapuram,townhall,gandhipark,lali road,p.n.pudhur"
S16,"townhall,gandhipuram,lakshmi mills,peelamedu,hopes"
S17,"gandhipuram,railway station,selvapuram,perur,sundakamuthur"
S18,"singanallur,peelamedu,gandhipuram,new bus stand,thudiyalur"
S19,"hopes,peelamedu,lakshmi mills,railway station,ukkadam,pothanur"
S21,"gandhimanagar,lakshmi mills,gandhipuram,kavundampalayam,thudiyalur"
S21A,"singanallur,hopes,peelamedu,gandhipuram,kavundampalayam,thudiyalur"
S21B,"esi hospital,hopes,peelamedu,gandhipuram,kavundampalayam,thudiyalur,p.n.palayam"
S23,"kavundampalayam,new bus stand,gandhipuram,lakshmi mills,peelamedu,esi hospital"
